;S Clear;S 181 Congo R;S 071 Tokyo R;S 120 Deep Blue R;S 119 Dark Blue R;S 115 Peacock R;S 090 Dark Y G R;S 139 P Green R;S 101 Yellow R;S 158 Deep Orange R;S 022 Dark Amber R;S 019 Fire R;S 106 P Red R;S 126 Mauve R;S 170 Deep Lav R;S 137 Special Lav R;S 117 Steel Blue R;S 088 Lime Green R;S 156 Chocolate R;S 652 Urban Sodium R;S 111 Dark Pink R;S 200 Double CTB R;S 204 Full CTO R
508;2,701e-003;1,264e-005;7,051e-006;1,062e-004;3,452e-004;2,135e-003;7,292e-004;6,393e-004;1,563e-003;7,891e-006;9,357e-006;3,463e-005;1,316e-027;2,266e-005;8,723e-004;1,309e-003;2,256e-003;2,355e-003;4,418e-004;2,525e-004;5,071e-004;9,544e-004;1,154e-003
510;2,991e-003;1,041e-005;5,251e-006;1,004e-004;3,460e-004;2,353e-003;8,425e-004;7,772e-004;1,825e-003;1,068e-005;1,239e-005;3,995e-005;1,292e-027;1,834e-005;9,366e-004;1,396e-003;2,498e-003;2,639e-003;5,196e-004;2,748e-004;5,381e-004;1,004e-003;1,309e-003
512;3,269e-003;8,578e-006;3,757e-006;9,262e-005;3,430e-004;2,556e-003;9,510e-004;9,167e-004;2,086e-003;1,307e-005;1,552e-005;4,535e-005;1,272e-027;1,516e-005;9,934e-004;1,471e-003;2,731e-003;2,916e-003;6,019e-004;2,954e-004;5,679e-004;1,046e-003;1,462e-003
514;3,528e-003;6,696e-006;2,257e-006;8,414e-005;3,332e-004;2,743e-003;1,053e-003;1,056e-003;2,345e-003;1,796e-005;1,887e-005;5,196e-005;1,250e-027;1,186e-005;1,041e-003;1,533e-003;2,946e-003;3,179e-003;6,874e-004;3,138e-004;5,940e-004;1,079e-003;1,612e-003
516;3,761e-003;5,501e-006;1,359e-006;7,454e-005;3,169e-004;2,902e-003;1,145e-003;1,186e-003;2,591e-003;2,260e-005;2,297e-005;5,830e-005;1,228e-027;8,506e-006;1,078e-003;1,576e-003;3,134e-003;3,416e-003;7,726e-004;3,302e-004;6,157e-004;1,099e-003;1,752e-003
518;3,964e-003;4,451e-006;1,147e-006;6,257e-005;2,948e-004;3,032e-003;1,222e-003;1,305e-003;2,821e-003;2,856e-005;2,753e-005;6,378e-005;1,207e-027;6,843e-006;1,105e-003;1,602e-003;3,292e-003;3,623e-003;8,561e-004;3,444e-004;6,343e-004;1,107e-003;1,878e-003
520;4,128e-003;3,235e-006;9,031e-008;5,140e-005;2,666e-004;3,121e-003;1,279e-003;1,404e-003;3,030e-003;3,467e-005;3,297e-005;6,940e-005;1,183e-027;4,339e-006;1,116e-003;1,603e-003;3,403e-003;3,787e-003;9,372e-004;3,565e-004;6,479e-004;1,099e-003;1,987e-003
522;4,242e-003;2,916e-006;9,853e-008;4,025e-005;2,334e-004;3,160e-003;1,311e-003;1,481e-003;3,201e-003;4,369e-005;4,085e-005;7,566e-005;1,162e-027;3,336e-006;1,113e-003;1,580e-003;3,461e-003;3,895e-003;1,007e-003;3,644e-004;6,569e-004;1,075e-003;2,068e-003
524;4,304e-003;1,624e-006;1,145e-027;3,135e-005;2,025e-004;3,155e-003;1,318e-003;1,526e-003;3,323e-003;5,580e-005;4,977e-005;8,098e-005;1,145e-027;1,907e-006;1,097e-003;1,540e-003;3,466e-003;3,945e-003;1,062e-003;3,709e-004;6,601e-004;1,040e-003;2,118e-003
526;4,318e-003;1,030e-006;1,130e-027;2,306e-005;1,719e-004;3,106e-003;1,301e-003;1,545e-003;3,402e-003;6,942e-005;6,082e-005;8,519e-005;1,130e-027;1,068e-006;1,068e-003;1,481e-003;3,422e-003;3,944e-003;1,100e-003;3,743e-004;6,578e-004;9,929e-004;2,138e-003
